Driver,AvgRaceLapTime,ReadableAvgLap,PitStopCount,QualiPosition,FinalPosition,AirTemp,TrackTemp,Humidity,GP,Year,AvgQualifyingPosition,AvgFinishingPosition,Year_x,Year_y
RIC,110.86342222222224,1:50.863,3.0,13.0,9.0,24.17,38.31,55.81,Azerbaijan Grand Prix,2021.0,9.4,8.0,,
RUS,111.72859090909093,1:51.728,3.0,15.0,17.0,24.17,38.31,55.81,Azerbaijan Grand Prix,2021.0,13.6,15.4,,
SAI,110.06727272727272,1:50.067,3.0,5.0,8.0,24.17,38.31,55.81,Azerbaijan Grand Prix,2021.0,6.8,6.6,,
TSU,109.30702272727272,1:49.307,3.0,8.0,7.0,24.17,38.31,55.81,Azerbaijan Grand Prix,2021.0,15.8,14.4,,
VER,107.44317073170733,1:47.443,1.0,3.0,18.0,24.17,38.31,55.81,Azerbaijan Grand Prix,2021.0,2.2,1.6,,
VET,109.01661363636364,1:49.016,3.0,11.0,2.0,24.17,38.31,55.81,Azerbaijan Grand Prix,2021.0,12.4,12.2,,
ALO,100.4427358490566,1:40.442,1.0,9.0,8.0,25.31,35.23,58.63,French Grand Prix,2021.0,12.166666666666666,12.166666666666666,,
BOT,99.25260377358492,1:39.252,1.0,3.0,4.0,25.31,35.23,58.63,French Grand Prix,2021.0,4.666666666666667,9.666666666666666,,
GAS,100.422,1:40.421,1.0,6.0,7.0,25.31,35.23,58.63,French Grand Prix,2021.0,6.833333333333333,8.833333333333334,,
GIO,101.21857692307692,1:41.218,1.0,13.0,15.0,25.31,35.23,58.63,French Grand Prix,2021.0,14.166666666666666,12.333333333333334,,
HAM,99.03158490566038,1:39.031,1.0,2.0,2.0,25.31,35.23,58.63,French Grand Prix,2021.0,2.5,4.5,,
LAT,101.33117307692306,1:41.331,1.0,16.0,18.0,25.31,35.23,58.63,French Grand Prix,2021.0,17.0,17.166666666666668,,
LEC,101.2816153846154,1:41.281,2.0,7.0,16.0,25.31,35.23,58.63,French Grand Prix,2021.0,3.6666666666666665,7.333333333333333,,
MAZ,102.19234615384616,1:42.192,1.0,18.0,20.0,25.31,35.23,58.63,French Grand Prix,2021.0,19.333333333333332,17.666666666666668,,
MSC,101.92128846153848,1:41.921,1.0,15.0,19.0,25.31,35.23,58.63,French Grand Prix,2021.0,18.2,16.333333333333332,,
NOR,100.18494339622642,1:40.184,1.0,8.0,5.0,25.31,35.23,58.63,French Grand Prix,2021.0,6.833333333333333,4.666666666666667,,
OCO,101.1324423076923,1:41.132,1.0,11.0,14.0,25.31,35.23,58.63,French Grand Prix,2021.0,9.833333333333334,11.166666666666666,,
PER,99.14303773584906,1:39.143,1.0,4.0,3.0,25.31,35.23,58.63,French Grand Prix,2021.0,6.833333333333333,5.0,,
RAI,101.31642307692309,1:41.316,1.0,17.0,17.0,25.31,35.23,58.63,French Grand Prix,2021.0,15.0,12.833333333333334,,
RIC,100.4080566037736,1:40.408,1.0,10.0,6.0,25.31,35.23,58.63,French Grand Prix,2021.0,10.0,8.166666666666666,,
RUS,101.03498076923076,1:41.034,1.0,14.0,12.0,25.31,35.23,58.63,French Grand Prix,2021.0,13.833333333333334,15.666666666666666,,
SAI,100.85107547169812,1:40.851,1.0,5.0,11.0,25.31,35.23,58.63,French Grand Prix,2021.0,6.5,6.833333333333333,,
STR,100.71162264150944,1:40.711,1.0,19.0,10.0,25.31,35.23,58.63,French Grand Prix,2021.0,13.333333333333334,11.666666666666666,,
TSU,101.11809615384615,1:41.118,2.0,20.0,13.0,25.31,35.23,58.63,French Grand Prix,2021.0,14.5,13.166666666666666,,
VER,98.9767924528302,1:38.976,2.0,1.0,1.0,25.31,35.23,58.63,French Grand Prix,2021.0,2.3333333333333335,4.333333333333333,,
VET,100.47992452830188,1:40.479,1.0,12.0,9.0,25.31,35.23,58.63,French Grand Prix,2021.0,12.166666666666666,10.5,,
ALO,71.14427142857143,1:11.144,1.0,9.0,9.0,26.69,52.35,33.25,Styrian Grand Prix,2021.0,11.714285714285714,11.571428571428571,,
BOT,70.22298591549296,1:10.222,1.0,2.0,3.0,26.69,52.35,33.25,Styrian Grand Prix,2021.0,4.428571428571429,8.857142857142858,,
GIO,71.39924285714285,1:11.399,1.0,15.0,15.0,26.69,52.35,33.25,Styrian Grand Prix,2021.0,14.0,12.714285714285714,,
