Driver,AvgRaceLapTime,ReadableAvgLap,PitStopCount,QualiPosition,FinalPosition,AirTemp,TrackTemp,Humidity,GP,Year,AvgQualifyingPosition,AvgFinishingPosition,Year_x,Year_y
MSC,107.74545283018868,1:47.745,2.0,19.0,15.0,29.29,35.52,49.62,Pre-Season Test,2022.0,18.15,16.857142857142858,,
NOR,107.3623396226415,1:47.362,2.0,8.0,6.0,29.29,35.52,49.62,Pre-Season Test,2022.0,6.809523809523809,6.904761904761905,,
OCO,107.64601886792452,1:47.646,3.0,18.0,11.0,29.29,35.52,49.62,Pre-Season Test,2022.0,11.19047619047619,11.38095238095238,,
PER,103.41772,1:43.417,2.0,4.0,4.0,29.29,35.52,49.62,Pre-Season Test,2022.0,6.428571428571429,6.523809523809524,,
RIC,108.8837962962963,1:48.883,2.0,17.0,16.0,29.29,35.52,49.62,Pre-Season Test,2022.0,9.428571428571429,8.428571428571429,,
RUS,104.32752,1:44.327,3.0,6.0,5.0,29.29,35.52,49.62,Pre-Season Test,2022.0,12.476190476190476,13.476190476190476,,
STR,108.42915789473685,1:48.429,1.0,7.0,18.0,29.29,35.52,49.62,Pre-Season Test,2022.0,13.428571428571429,11.952380952380953,,
TSU,107.70283018867924,1:47.702,2.0,15.0,10.0,29.29,35.52,49.62,Pre-Season Test,2022.0,13.142857142857142,13.38095238095238,,
VER,102.95738,1:42.957,2.0,3.0,1.0,29.29,35.52,49.62,Pre-Season Test,2022.0,2.8095238095238093,4.238095238095238,,
VET,104.4283,1:44.428,2.0,12.0,8.0,29.29,35.52,49.62,Pre-Season Test,2022.0,11.38095238095238,11.80952380952381,,
ALO,103.08726315789474,1:43.087,3.0,8.0,9.0,23.62,28.61,29.49,Bahrain Grand Prix,2022.0,11.047619047619047,10.238095238095235,,
BOT,102.97724561403508,1:42.977,3.0,6.0,6.0,23.62,28.61,29.49,Bahrain Grand Prix,2022.0,3.761904761904762,7.619047619047619,,
GAS,100.78102272727271,1:40.781,2.0,10.0,20.0,23.62,28.61,29.49,Bahrain Grand Prix,2022.0,6.714285714285714,10.238095238095235,,
HAM,102.86419298245616,1:42.864,3.0,5.0,3.0,23.62,28.61,29.49,Bahrain Grand Prix,2022.0,2.1904761904761907,3.5238095238095237,,
LAT,103.77857894736842,1:43.778,3.0,20.0,16.0,23.62,28.61,29.49,Bahrain Grand Prix,2022.0,16.476190476190474,15.666666666666666,,
LEC,100.69770909090909,1:40.697,3.0,1.0,1.0,23.62,28.61,29.49,Bahrain Grand Prix,2022.0,6.666666666666667,7.476190476190476,,
MSC,103.2659298245614,1:43.265,2.0,12.0,11.0,23.62,28.61,29.49,Bahrain Grand Prix,2022.0,18.15,16.857142857142858,,
NOR,103.6827894736842,1:43.682,3.0,13.0,15.0,23.62,28.61,29.49,Bahrain Grand Prix,2022.0,6.809523809523809,6.904761904761905,,
OCO,103.03521052631578,1:43.035,3.0,11.0,7.0,23.62,28.61,29.49,Bahrain Grand Prix,2022.0,11.19047619047619,11.38095238095238,,
PER,102.95580357142856,1:42.955,3.0,4.0,18.0,23.62,28.61,29.49,Bahrain Grand Prix,2022.0,6.428571428571429,6.523809523809524,,
RIC,103.6589298245614,1:43.658,3.0,18.0,14.0,23.62,28.61,29.49,Bahrain Grand Prix,2022.0,9.428571428571429,8.428571428571429,,
RUS,102.04010714285714,1:42.040,3.0,9.0,4.0,23.62,28.61,29.49,Bahrain Grand Prix,2022.0,12.476190476190476,13.476190476190476,,
SAI,102.79266666666666,1:42.792,3.0,3.0,2.0,23.62,28.61,29.49,Bahrain Grand Prix,2022.0,7.857142857142857,6.619047619047619,,
STR,103.49924561403508,1:43.499,3.0,19.0,12.0,23.62,28.61,29.49,Bahrain Grand Prix,2022.0,13.428571428571429,11.952380952380953,,
TSU,103.0521052631579,1:43.052,3.0,16.0,8.0,23.62,28.61,29.49,Bahrain Grand Prix,2022.0,13.142857142857142,13.38095238095238,,
VER,102.75343396226415,1:42.753,3.0,2.0,19.0,23.62,28.61,29.49,Bahrain Grand Prix,2022.0,2.8095238095238093,4.238095238095238,,
ALO,98.4550625,1:38.455,1.0,7.0,16.0,25.42,28.41,59.66,Saudi Arabian Grand Prix,2022.0,11.047619047619047,10.238095238095235,,
BOT,98.26928125,1:38.269,2.0,8.0,15.0,25.42,28.41,59.66,Saudi Arabian Grand Prix,2022.0,3.761904761904762,7.619047619047619,,
GAS,100.23285416666666,1:40.232,1.0,9.0,8.0,25.42,28.41,59.66,Saudi Arabian Grand Prix,2022.0,6.714285714285714,10.238095238095235,,
HAM,100.37389583333334,1:40.373,1.0,16.0,10.0,25.42,28.41,59.66,Saudi Arabian Grand Prix,2022.0,2.1904761904761907,3.5238095238095237,,
LEC,96.81834042553191,1:36.818,1.0,2.0,2.0,25.42,28.41,59.66,Saudi Arabian Grand Prix,2022.0,6.666666666666667,7.476190476190476,,
NOR,100.1001875,1:40.100,1.0,11.0,7.0,25.42,28.41,59.66,Saudi Arabian Grand Prix,2022.0,6.809523809523809,6.904761904761905,,
OCO,99.02940425531914,1:39.029,1.0,5.0,6.0,25.42,28.41,59.66,Saudi Arabian Grand Prix,2022.0,11.19047619047619,11.38095238095238,,
PER,97.55534042553192,1:37.555,1.0,1.0,4.0,25.42,28.41,59.66,Saudi Arabian Grand Prix,2022.0,6.428571428571429,6.523809523809524,,
RIC,100.43224242424245,1:40.432,1.0,12.0,17.0,25.42,28.41,59.66,Saudi Arabian Grand Prix,2022.0,9.428571428571429,8.428571428571429,,
RUS,98.0222340425532,1:38.022,1.0,6.0,5.0,25.42,28.41,59.66,Saudi Arabian Grand Prix,2022.0,12.476190476190476,13.476190476190476,,
SAI,97.14925531914896,1:37.149,1.0,3.0,3.0,25.42,28.41,59.66,Saudi Arabian Grand Prix,2022.0,7.857142857142857,6.619047619047619,,
STR,101.4838510638298,1:41.483,1.0,15.0,13.0,25.42,28.41,59.66,Saudi Arabian Grand Prix,2022.0,13.428571428571429,11.952380952380953,,
VER,96.88470212765958,1:36.884,1.0,4.0,1.0,25.42,28.41,59.66,Saudi Arabian Grand Prix,2022.0,2.8095238095238093,4.238095238095238,,
ALO,91.784,1:31.784,2.0,10.0,17.0,26.7,37.41,43.65,Australian Grand Prix,2022.0,11.047619047619047,10.238095238095235,,
BOT,90.96036842105264,1:30.960,1.0,12.0,8.0,26.7,37.41,43.65,Australian Grand Prix,2022.0,3.761904761904762,7.619047619047619,,
GAS,91.09535087719298,1:31.095,1.0,11.0,9.0,26.7,37.41,43.65,Australian Grand Prix,2022.0,6.714285714285714,10.238095238095235,,
HAM,90.1810701754386,1:30.181,1.0,5.0,4.0,26.7,37.41,43.65,Australian Grand Prix,2022.0,2.1904761904761907,3.5238095238095237,,
LAT,92.57949122807015,1:32.579,2.0,19.0,16.0,26.7,37.41,43.65,Australian Grand Prix,2022.0,16.476190476190474,15.666666666666666,,
LEC,88.37974999999999,1:28.379,1.0,1.0,1.0,26.7,37.41,43.65,Australian Grand Prix,2022.0,6.666666666666667,7.476190476190476,,
MSC,91.40289285714286,1:31.402,1.0,15.0,13.0,26.7,37.41,43.65,Australian Grand Prix,2022.0,18.15,16.857142857142858,,
NOR,90.65154385964912,1:30.651,1.0,4.0,5.0,26.7,37.41,43.65,Australian Grand Prix,2022.0,6.809523809523809,6.904761904761905,,
OCO,91.86605172413792,1:31.866,1.0,8.0,7.0,26.7,37.41,43.65,Australian Grand Prix,2022.0,11.19047619047619,11.38095238095238,,
PER,90.01012280701755,1:30.010,1.0,3.0,2.0,26.7,37.41,43.65,Australian Grand Prix,2022.0,6.428571428571429,6.523809523809524,,
RIC,90.69157894736844,1:30.691,1.0,7.0,6.0,26.7,37.41,43.65,Australian Grand Prix,2022.0,9.428571428571429,8.428571428571429,,
RUS,90.06177192982456,1:30.061,1.0,6.0,3.0,26.7,37.41,43.65,Australian Grand Prix,2022.0,12.476190476190476,13.476190476190476,,
STR,91.2201052631579,1:31.220,3.0,20.0,12.0,26.7,37.41,43.65,Australian Grand Prix,2022.0,13.428571428571429,11.952380952380953,,
TSU,91.47360714285716,1:31.473,1.0,13.0,15.0,26.7,37.41,43.65,Australian Grand Prix,2022.0,13.142857142857142,13.38095238095238,,
VER,91.534,1:31.534,1.0,2.0,18.0,26.7,37.41,43.65,Australian Grand Prix,2022.0,2.8095238095238093,4.238095238095238,,
BOT,88.43122222222223,1:28.431,1.0,8.0,5.0,12.9,17.42,83.17,Emilia Romagna Grand Prix,2022.0,3.761904761904762,7.619047619047619,,
GAS,88.38901639344262,1:28.389,1.0,17.0,12.0,12.9,17.42,83.17,Emilia Romagna Grand Prix,2022.0,6.714285714285714,10.238095238095235,,
HAM,89.4075,1:29.407,1.0,13.0,13.0,12.9,17.42,83.17,Emilia Romagna Grand Prix,2022.0,2.1904761904761907,3.5238095238095237,,
LAT,88.57816393442623,1:28.578,1.0,18.0,16.0,12.9,17.42,83.17,Emilia Romagna Grand Prix,2022.0,16.476190476190474,15.666666666666666,,
LEC,88.63584126984126,1:28.635,3.0,2.0,6.0,12.9,17.42,83.17,Emilia Romagna Grand Prix,2022.0,6.666666666666667,7.476190476190476,,
MSC,88.87654098360656,1:28.876,2.0,12.0,17.0,12.9,17.42,83.17,Emilia Romagna Grand Prix,2022.0,18.15,16.857142857142858,,
NOR,88.29873015873015,1:28.298,1.0,3.0,3.0,12.9,17.42,83.17,Emilia Romagna Grand Prix,2022.0,6.809523809523809,6.904761904761905,,
OCO,89.36033870967742,1:29.360,1.0,19.0,14.0,12.9,17.42,83.17,Emilia Romagna Grand Prix,2022.0,11.19047619047619,11.38095238095238,,
PER,88.00814285714286,1:28.008,2.0,7.0,2.0,12.9,17.42,83.17,Emilia Romagna Grand Prix,2022.0,6.428571428571429,6.523809523809524,,
RIC,89.18701639344263,1:29.187,3.0,6.0,18.0,12.9,17.42,83.17,Emilia Romagna Grand Prix,2022.0,9.428571428571429,8.428571428571429,,
RUS,88.42050793650795,1:28.420,1.0,11.0,4.0,12.9,17.42,83.17,Emilia Romagna Grand Prix,2022.0,12.476190476190476,13.476190476190476,,
STR,89.31093548387098,1:29.310,1.0,15.0,10.0,12.9,17.42,83.17,Emilia Romagna Grand Prix,2022.0,13.428571428571429,11.952380952380953,,
TSU,88.71580952380953,1:28.715,1.0,16.0,7.0,12.9,17.42,83.17,Emilia Romagna Grand Prix,2022.0,13.142857142857142,13.38095238095238,,
VER,87.74580952380953,1:27.745,2.0,1.0,1.0,12.9,17.42,83.17,Emilia Romagna Grand Prix,2022.0,2.8095238095238093,4.238095238095238,,
VET,88.87107936507935,1:28.871,1.0,9.0,8.0,12.9,17.42,83.17,Emilia Romagna Grand Prix,2022.0,11.38095238095238,11.80952380952381,,
ALO,98.93473214285714,1:38.934,1.0,11.0,11.0,30.62,42.82,58.86,Miami Grand Prix,2022.0,11.047619047619047,10.238095238095235,,
BOT,97.82858181818182,1:37.828,1.0,5.0,7.0,30.62,42.82,58.86,Miami Grand Prix,2022.0,3.761904761904762,7.619047619047619,,
GAS,97.57266666666666,1:37.572,2.0,7.0,18.0,30.62,42.82,58.86,Miami Grand Prix,2022.0,6.714285714285714,10.238095238095235,,
HAM,97.71621818181818,1:37.716,1.0,6.0,6.0,30.62,42.82,58.86,Miami Grand Prix,2022.0,2.1904761904761907,3.5238095238095237,,
LAT,98.21087272727272,1:38.210,1.0,19.0,14.0,30.62,42.82,58.86,Miami Grand Prix,2022.0,16.476190476190474,15.666666666666666,,
LEC,96.1480925925926,1:36.148,1.0,1.0,2.0,30.62,42.82,58.86,Miami Grand Prix,2022.0,6.666666666666667,7.476190476190476,,
MSC,99.74146428571429,1:39.741,2.0,15.0,15.0,30.62,42.82,58.86,Miami Grand Prix,2022.0,18.15,16.857142857142858,,
NOR,96.13953846153846,1:36.139,1.0,8.0,19.0,30.62,42.82,58.86,Miami Grand Prix,2022.0,6.809523809523809,6.904761904761905,,
OCO,98.93751785714286,1:38.937,1.0,20.0,8.0,30.62,42.82,58.86,Miami Grand Prix,2022.0,11.19047619047619,11.38095238095238,,
PER,97.5192909090909,1:37.519,2.0,4.0,4.0,30.62,42.82,58.86,Miami Grand Prix,2022.0,6.428571428571429,6.523809523809524,,
RIC,99.06775,1:39.067,2.0,14.0,13.0,30.62,42.82,58.86,Miami Grand Prix,2022.0,9.428571428571429,8.428571428571429,,
RUS,97.76987272727273,1:37.769,1.0,12.0,5.0,30.62,42.82,58.86,Miami Grand Prix,2022.0,12.476190476190476,13.476190476190476,,
SAI,97.43456363636363,1:37.434,1.0,2.0,3.0,30.62,42.82,58.86,Miami Grand Prix,2022.0,7.857142857142857,6.619047619047619,,
STR,99.08,1:39.079,2.0,10.0,10.0,30.62,42.82,58.86,Miami Grand Prix,2022.0,13.428571428571429,11.952380952380953,,
TSU,96.49224074074074,1:36.492,2.0,9.0,12.0,30.62,42.82,58.86,Miami Grand Prix,2022.0,13.142857142857142,13.38095238095238,,
VER,94.91677358490566,1:34.916,1.0,3.0,1.0,30.62,42.82,58.86,Miami Grand Prix,2022.0,2.8095238095238093,4.238095238095238,,
VET,99.78715094339624,1:39.787,2.0,13.0,17.0,30.62,42.82,58.86,Miami Grand Prix,2022.0,11.38095238095238,11.80952380952381,,
ALO,89.9588,1:29.958,3.0,17.0,9.0,36.57,48.96,7.11,Spanish Grand Prix,2022.0,11.047619047619047,10.238095238095235,,
BOT,89.40077272727272,1:29.400,2.0,7.0,6.0,36.57,48.96,7.11,Spanish Grand Prix,2022.0,3.761904761904762,7.619047619047619,,
GAS,90.48341538461538,1:30.483,3.0,14.0,13.0,36.57,48.96,7.11,Spanish Grand Prix,2022.0,6.714285714285714,10.238095238095235,,
HAM,89.31831818181819,1:29.318,3.0,6.0,5.0,36.57,48.96,7.11,Spanish Grand Prix,2022.0,2.1904761904761907,3.5238095238095237,,
LAT,91.327046875,1:31.327,3.0,20.0,16.0,36.57,48.96,7.11,Spanish Grand Prix,2022.0,16.476190476190474,15.666666666666666,,
LEC,89.69103703703703,1:29.691,1.0,1.0,20.0,36.57,48.96,7.11,Spanish Grand Prix,2022.0,6.666666666666667,7.476190476190476,,
MSC,90.52181538461538,1:30.521,2.0,10.0,14.0,36.57,48.96,7.11,Spanish Grand Prix,2022.0,18.15,16.857142857142858,,
NOR,89.75318181818182,1:29.753,3.0,11.0,8.0,36.57,48.96,7.11,Spanish Grand Prix,2022.0,6.809523809523809,6.904761904761905,,
OCO,89.63442424242425,1:29.634,3.0,12.0,7.0,36.57,48.96,7.11,Spanish Grand Prix,2022.0,11.19047619047619,11.38095238095238,,
PER,88.69010606060606,1:28.690,3.0,5.0,2.0,36.57,48.96,7.11,Spanish Grand Prix,2022.0,6.428571428571429,6.523809523809524,,
RIC,90.46387692307692,1:30.463,3.0,9.0,12.0,36.57,48.96,7.11,Spanish Grand Prix,2022.0,9.428571428571429,8.428571428571429,,
RUS,88.9909393939394,1:28.990,3.0,4.0,3.0,36.57,48.96,7.11,Spanish Grand Prix,2022.0,12.476190476190476,13.476190476190476,,
SAI,89.17701515151515,1:29.177,3.0,3.0,4.0,36.57,48.96,7.11,Spanish Grand Prix,2022.0,7.857142857142857,6.619047619047619,,
STR,90.8124,1:30.812,3.0,18.0,15.0,36.57,48.96,7.11,Spanish Grand Prix,2022.0,13.428571428571429,11.952380952380953,,
TSU,90.01723076923076,1:30.017,3.0,13.0,10.0,36.57,48.96,7.11,Spanish Grand Prix,2022.0,13.142857142857142,13.38095238095238,,
VER,88.49204545454546,1:28.492,3.0,2.0,1.0,36.57,48.96,7.11,Spanish Grand Prix,2022.0,2.8095238095238093,4.238095238095238,,
VET,90.26304615384616,1:30.263,2.0,16.0,11.0,36.57,48.96,7.11,Spanish Grand Prix,2022.0,11.38095238095238,11.80952380952381,,
ALO,91.13414285714286,1:31.134,3.0,7.0,7.0,22.27,31.04,75.67,Monaco Grand Prix,2022.0,11.047619047619047,10.238095238095235,,
BOT,91.48973015873015,1:31.489,3.0,12.0,9.0,22.27,31.04,75.67,Monaco Grand Prix,2022.0,3.761904761904762,7.619047619047619,,
GAS,90.65195161290325,1:30.651,4.0,17.0,11.0,22.27,31.04,75.67,Monaco Grand Prix,2022.0,6.714285714285714,10.238095238095235,,
HAM,91.15574603174603,1:31.155,4.0,8.0,8.0,22.27,31.04,75.67,Monaco Grand Prix,2022.0,2.1904761904761907,3.5238095238095237,,
LAT,92.03032258064516,1:32.030,5.0,19.0,15.0,22.27,31.04,75.67,Monaco Grand Prix,2022.0,16.476190476190474,15.666666666666666,,
LEC,89.54141935483871,1:29.541,4.0,1.0,4.0,22.27,31.04,75.67,Monaco Grand Prix,2022.0,6.666666666666667,7.476190476190476,,
MSC,103.64608333333332,1:43.646,3.0,15.0,19.0,22.27,31.04,75.67,Monaco Grand Prix,2022.0,18.15,16.857142857142858,,
NOR,90.58950793650794,1:30.589,5.0,5.0,6.0,22.27,31.04,75.67,Monaco Grand Prix,2022.0,6.809523809523809,6.904761904761905,,
OCO,91.18044444444445,1:31.180,3.0,10.0,12.0,22.27,31.04,75.67,Monaco Grand Prix,2022.0,11.19047619047619,11.38095238095238,,
PER,89.4947741935484,1:29.494,4.0,3.0,1.0,22.27,31.04,75.67,Monaco Grand Prix,2022.0,6.428571428571429,6.523809523809524,,
RIC,91.7627142857143,1:31.762,3.0,14.0,13.0,22.27,31.04,75.67,Monaco Grand Prix,2022.0,9.428571428571429,8.428571428571429,,
RUS,90.65820634920634,1:30.658,3.0,6.0,5.0,22.27,31.04,75.67,Monaco Grand Prix,2022.0,12.476190476190476,13.476190476190476,,
SAI,89.51753225806452,1:29.517,3.0,2.0,2.0,22.27,31.04,75.67,Monaco Grand Prix,2022.0,7.857142857142857,6.619047619047619,,
STR,91.49133333333332,1:31.491,5.0,18.0,14.0,22.27,31.04,75.67,Monaco Grand Prix,2022.0,13.428571428571429,11.952380952380953,,
TSU,92.49062903225806,1:32.490,5.0,11.0,17.0,22.27,31.04,75.67,Monaco Grand Prix,2022.0,13.142857142857142,13.38095238095238,,
VER,89.52037096774194,1:29.520,4.0,4.0,3.0,22.27,31.04,75.67,Monaco Grand Prix,2022.0,2.8095238095238093,4.238095238095238,,
VET,91.68304761904764,1:31.683,4.0,9.0,10.0,22.27,31.04,75.67,Monaco Grand Prix,2022.0,11.38095238095238,11.80952380952381,,
ALO,111.64402,1:51.644,1.0,10.0,7.0,25.44,47.15,59.49,Azerbaijan Grand Prix,2022.0,11.047619047619047,10.238095238095235,,
BOT,111.45539583333334,1:51.455,1.0,15.0,11.0,25.44,47.15,59.49,Azerbaijan Grand Prix,2022.0,3.761904761904762,7.619047619047619,,
GAS,111.43078,1:51.430,1.0,6.0,5.0,25.44,47.15,59.49,Azerbaijan Grand Prix,2022.0,6.714285714285714,10.238095238095235,,
HAM,111.07112,1:51.071,2.0,7.0,4.0,25.44,47.15,59.49,Azerbaijan Grand Prix,2022.0,2.1904761904761907,3.5238095238095237,,
LAT,114.208693877551,1:54.208,2.0,18.0,15.0,25.44,47.15,59.49,Azerbaijan Grand Prix,2022.0,16.476190476190474,15.666666666666666,,
LEC,112.38645,1:52.386,1.0,1.0,19.0,25.44,47.15,59.49,Azerbaijan Grand Prix,2022.0,6.666666666666667,7.476190476190476,,
MSC,113.07691836734696,1:53.076,2.0,20.0,14.0,25.44,47.15,59.49,Azerbaijan Grand Prix,2022.0,18.15,16.857142857142858,,
NOR,112.51954901960784,1:52.519,1.0,11.0,9.0,25.44,47.15,59.49,Azerbaijan Grand Prix,2022.0,6.809523809523809,6.904761904761905,,
OCO,111.96648,1:51.966,1.0,13.0,10.0,25.44,47.15,59.49,Azerbaijan Grand Prix,2022.0,11.19047619047619,11.38095238095238,,
PER,110.04222,1:50.042,2.0,2.0,2.0,25.44,47.15,59.49,Azerbaijan Grand Prix,2022.0,6.428571428571429,6.523809523809524,,
RIC,111.50908,1:51.509,1.0,12.0,8.0,25.44,47.15,59.49,Azerbaijan Grand Prix,2022.0,9.428571428571429,8.428571428571429,,
RUS,110.547,1:50.547,2.0,5.0,3.0,25.44,47.15,59.49,Azerbaijan Grand Prix,2022.0,12.476190476190476,13.476190476190476,,
STR,113.46486666666668,1:53.464,1.0,19.0,16.0,25.44,47.15,59.49,Azerbaijan Grand Prix,2022.0,13.428571428571429,11.952380952380953,,
TSU,112.31530612244896,1:52.315,2.0,8.0,13.0,25.44,47.15,59.49,Azerbaijan Grand Prix,2022.0,13.142857142857142,13.38095238095238,,
VER,109.64182,1:49.641,2.0,3.0,1.0,25.44,47.15,59.49,Azerbaijan Grand Prix,2022.0,2.8095238095238093,4.238095238095238,,
VET,111.56998,1:51.569,1.0,9.0,6.0,25.44,47.15,59.49,Azerbaijan Grand Prix,2022.0,11.38095238095238,11.80952380952381,,
ALO,82.95288571428571,1:22.952,2.0,2.0,9.0,20.76,41.26,28.93,Canadian Grand Prix,2022.0,11.047619047619047,10.238095238095235,,
BOT,82.9572,1:22.957,1.0,11.0,7.0,20.76,41.26,28.93,Canadian Grand Prix,2022.0,3.761904761904762,7.619047619047619,,
GAS,83.24199999999999,1:23.241,2.0,16.0,14.0,20.76,41.26,28.93,Canadian Grand Prix,2022.0,6.714285714285714,10.238095238095235,,
HAM,82.69661428571429,1:22.696,2.0,4.0,3.0,20.76,41.26,28.93,Canadian Grand Prix,2022.0,2.1904761904761907,3.5238095238095237,,
LAT,83.45335714285714,1:23.453,2.0,19.0,16.0,20.76,41.26,28.93,Canadian Grand Prix,2022.0,16.476190476190474,15.666666666666666,,
LEC,82.8132142857143,1:22.813,1.0,15.0,5.0,20.76,41.26,28.93,Canadian Grand Prix,2022.0,6.666666666666667,7.476190476190476,,
NOR,83.27002857142857,1:23.270,2.0,14.0,15.0,20.76,41.26,28.93,Canadian Grand Prix,2022.0,6.809523809523809,6.904761904761905,,
OCO,82.93781428571428,1:22.937,2.0,7.0,6.0,20.76,41.26,28.93,Canadian Grand Prix,2022.0,11.19047619047619,11.38095238095238,,
RIC,83.21148571428571,1:23.211,2.0,9.0,11.0,20.76,41.26,28.93,Canadian Grand Prix,2022.0,9.428571428571429,8.428571428571429,,
RUS,82.77242857142856,1:22.772,2.0,8.0,4.0,20.76,41.26,28.93,Canadian Grand Prix,2022.0,12.476190476190476,13.476190476190476,,
SAI,82.61071428571428,1:22.610,2.0,3.0,2.0,20.76,41.26,28.93,Canadian Grand Prix,2022.0,7.857142857142857,6.619047619047619,,
STR,83.14255714285714,1:23.142,1.0,18.0,10.0,20.76,41.26,28.93,Canadian Grand Prix,2022.0,13.428571428571429,11.952380952380953,,
TSU,81.89663829787234,1:21.896,1.0,20.0,18.0,20.76,41.26,28.93,Canadian Grand Prix,2022.0,13.142857142857142,13.38095238095238,,
VER,82.59652857142856,1:22.596,2.0,1.0,1.0,20.76,41.26,28.93,Canadian Grand Prix,2022.0,2.8095238095238093,4.238095238095238,,
VET,83.2286,1:23.228,2.0,17.0,12.0,20.76,41.26,28.93,Canadian Grand Prix,2022.0,11.38095238095238,11.80952380952381,,
ALO,98.3781,1:38.378,3.0,7.0,5.0,18.25,30.03,59.75,British Grand Prix,2022.0,11.047619047619047,10.238095238095235,,
BOT,101.37231578947367,1:41.372,1.0,12.0,17.0,18.25,30.03,59.75,British Grand Prix,2022.0,3.761904761904762,7.619047619047619,,
GAS,100.90948,1:40.909,2.0,11.0,16.0,18.25,30.03,59.75,British Grand Prix,2022.0,6.714285714285714,10.238095238095235,,
HAM,95.492125,1:35.492,3.0,5.0,3.0,18.25,30.03,59.75,British Grand Prix,2022.0,2.1904761904761907,3.5238095238095237,,
LAT,100.08972549019607,1:40.089,3.0,10.0,12.0,18.25,30.03,59.75,British Grand Prix,2022.0,16.476190476190474,15.666666666666666,,
LEC,95.70135416666666,1:35.701,2.0,3.0,4.0,18.25,30.03,59.75,British Grand Prix,2022.0,6.666666666666667,7.476190476190476,,
MSC,98.78228,1:38.782,3.0,19.0,8.0,18.25,30.03,59.75,British Grand Prix,2022.0,18.15,16.857142857142858,,
NOR,97.42567346938776,1:37.425,3.0,6.0,6.0,18.25,30.03,59.75,British Grand Prix,2022.0,6.809523809523809,6.904761904761905,,
OCO,101.55108333333334,1:41.551,2.0,15.0,15.0,18.25,30.03,59.75,British Grand Prix,2022.0,11.19047619047619,11.38095238095238,,
PER,97.3095306122449,1:37.309,3.0,4.0,2.0,18.25,30.03,59.75,British Grand Prix,2022.0,6.428571428571429,6.523809523809524,,
RIC,98.92148,1:38.921,4.0,14.0,13.0,18.25,30.03,59.75,British Grand Prix,2022.0,9.428571428571429,8.428571428571429,,
SAI,94.32280851063828,1:34.322,3.0,1.0,1.0,18.25,30.03,59.75,British Grand Prix,2022.0,7.857142857142857,6.619047619047619,,
STR,99.86974509803922,1:39.869,3.0,20.0,11.0,18.25,30.03,59.75,British Grand Prix,2022.0,13.428571428571429,11.952380952380953,,
TSU,101.23160784313724,1:41.231,3.0,13.0,14.0,18.25,30.03,59.75,British Grand Prix,2022.0,13.142857142857142,13.38095238095238,,
VER,97.74702040816328,1:37.747,4.0,2.0,7.0,18.25,30.03,59.75,British Grand Prix,2022.0,2.8095238095238093,4.238095238095238,,
VET,98.75674,1:38.756,3.0,18.0,9.0,18.25,30.03,59.75,British Grand Prix,2022.0,11.38095238095238,11.80952380952381,,
ALB,100.46508771929824,1:40.465,3.0,15.0,10.0,27.43,31.01,21.5,Bahrain Grand Prix,2023.0,16.0,14.25,,
ALO,99.56794736842104,1:39.567,2.0,5.0,3.0,27.43,31.01,21.5,Bahrain Grand Prix,2023.0,10.06060606060606,10.181818181818182,,
BOT,100.16461403508772,1:40.164,2.0,12.0,8.0,27.43,31.01,21.5,Bahrain Grand Prix,2023.0,5.96969696969697,8.696969696969697,,
GAS,100.18401754385964,1:40.184,3.0,20.0,9.0,27.43,31.01,21.5,Bahrain Grand Prix,2023.0,8.575757575757576,11.242424242424242,,
HAM,99.78443859649124,1:39.784,2.0,7.0,5.0,27.43,31.01,21.5,Bahrain Grand Prix,2023.0,3.9696969696969697,4.181818181818182,,
HUL,101.08298214285716,1:41.082,3.0,10.0,15.0,27.43,31.01,21.5,Bahrain Grand Prix,2023.0,17.5,14.5,,
LEC,99.64405128205128,1:39.644,2.0,3.0,19.0,27.43,31.01,21.5,Bahrain Grand Prix,2023.0,5.242424242424242,6.909090909090909,,
MAG,100.95523214285716,1:40.955,3.0,17.0,13.0,27.43,31.01,21.5,Bahrain Grand Prix,2023.0,12.166666666666666,12.75,,
NOR,102.60676363636364,1:42.606,6.0,11.0,17.0,27.43,31.01,21.5,Bahrain Grand Prix,2023.0,7.363636363636363,7.575757575757576,,
OCO,102.91624390243902,1:42.916,3.0,9.0,18.0,27.43,31.01,21.5,Bahrain Grand Prix,2023.0,11.757575757575758,10.818181818181818,,
PER,99.10040350877192,1:39.100,2.0,2.0,2.0,27.43,31.01,21.5,Bahrain Grand Prix,2023.0,5.7272727272727275,6.0606060606060606,,
RUS,99.87033333333332,1:39.870,2.0,6.0,7.0,27.43,31.01,21.5,Bahrain Grand Prix,2023.0,10.636363636363637,10.909090909090908,,
SAI,99.73312280701757,1:39.733,2.0,4.0,4.0,27.43,31.01,21.5,Bahrain Grand Prix,2023.0,6.2727272727272725,7.181818181818182,,
STR,99.8462807017544,1:39.846,2.0,8.0,6.0,27.43,31.01,21.5,Bahrain Grand Prix,2023.0,14.575757575757576,12.212121212121213,,
TSU,100.48431578947368,1:40.484,3.0,14.0,11.0,27.43,31.01,21.5,Bahrain Grand Prix,2023.0,13.21875,13.09375,,
VER,98.89010526315788,1:38.890,2.0,1.0,1.0,27.43,31.01,21.5,Bahrain Grand Prix,2023.0,2.6666666666666665,4.545454545454546,,
