Driver,AvgRaceLapTime,PitStopCount,QualiPosition,FinalPosition,AirTemp,TrackTemp,Humidity,Year_x,GP,AvgQualifyingPosition,AvgFinishingPosition,Year_y,Year
SAI,102.38295454545457,3.0,8.0,19.0,27.05,31.87,45.33,2025.0,Bahrain Grand Prix,6.924382491147197,7.035954437833695,2022.6184210526317,
HAM,100.27203571428572,2.0,9.0,5.0,27.05,31.87,45.33,2025.0,Bahrain Grand Prix,3.2735953246356932,3.849629173894382,2022.6410256410256,
TSU,100.58903571428571,2.0,10.0,9.0,27.05,31.87,45.33,2025.0,Bahrain Grand Prix,13.52002590536534,13.031447745626089,2022.6493506493507,
DOO,101.61826315789472,2.0,11.0,14.0,27.05,31.87,45.33,2025.0,Bahrain Grand Prix,,,,
HAD,101.67980701754384,2.0,12.0,13.0,27.05,31.87,45.33,2025.0,Bahrain Grand Prix,,,,
ALO,100.85835714285714,2.0,13.0,15.0,27.05,31.87,45.33,2025.0,Bahrain Grand Prix,10.558843925308382,10.529275924130372,2022.6410256410256,
OCO,101.46805263157894,2.0,14.0,8.0,27.05,31.87,45.33,2025.0,Bahrain Grand Prix,11.518001233573589,10.996440137213025,2022.6410256410256,
ALB,100.66335714285717,2.0,15.0,12.0,27.05,31.87,45.33,2025.0,Bahrain Grand Prix,16.0,14.25,2023.1929824561405,
HUL,101.62994736842106,2.0,16.0,20.0,27.05,31.87,45.33,2025.0,Bahrain Grand Prix,17.5,14.5,2023.4583333333333,
LAW,100.65635714285716,2.0,17.0,16.0,27.05,31.87,45.33,2025.0,Bahrain Grand Prix,,,2023.5,
BOR,100.97157142857144,2.0,18.0,18.0,27.05,31.87,45.33,2025.0,Bahrain Grand Prix,,,,
STR,100.934,2.0,19.0,17.0,27.05,31.87,45.33,2025.0,Bahrain Grand Prix,13.939814544715148,11.939087551470942,2022.6363636363635,
BEA,101.52682456140352,2.0,20.0,10.0,27.05,31.87,45.33,2025.0,Bahrain Grand Prix,,,2024.0,
VER,94.35722916666668,1.0,1.0,2.0,29.48,37.82,62.73,2025.0,Saudi Arabian Grand Prix,2.588655308768091,4.3271076997957705,2022.6410256410256,
PIA,94.32264583333334,1.0,2.0,1.0,29.48,37.82,62.73,2025.0,Saudi Arabian Grand Prix,,,2023.5217391304348,
RUS,94.93283333333332,1.0,3.0,5.0,29.48,37.82,62.73,2025.0,Saudi Arabian Grand Prix,11.451304659337108,12.17491860135049,2022.6410256410256,
